Item_ID__c,Building_Code__c,Internal_External__c,Level__c,Room_or_Area__c,Location_in_Room__c,Item_Name__c,If_Other_Item_Name__c,Friability_of_Material__c,ACM_Classification__c,ACM_Sub_Classification__c,NATA_Endorsed_Sample_no__c,Sample_Analysis_Result_Material_Status__c,Identifying_Hygiene_Consulting_Company__c,Condition__c,Disturbance_Potential_of_Material__c,Quantity__c,Labelled__c,Labelled_Details__c,Photo_Ref__c,Additional_Comments__c,Assumed_Removed__c
BLD-MYRTLE-STREET-CLINIC-ITEM-BLD-MYRTLE-STREET-CLINIC-ITEM-BLD-MYRTLE-STREET-CLINIC-ITEM-BLD-MYRTLE-STREET-CLINIC-ITEM-1.0,Myrtle Street Clinic,External,Ground Level,Throughout,,Eaves,,,,Flat sheeting,J169642-001-001,Negative,Greencap,,,,No,,,Painted white,False
BLD-MYRTLE-STREET-CLINIC-ITEM-BLD-MYRTLE-STREET-CLINIC-ITEM-BLD-MYRTLE-STREET-CLINIC-ITEM-BLD-MYRTLE-STREET-CLINIC-ITEM-2.0,Myrtle Street Clinic,External,Ground Level,Throughout,,Wall(s),,,,Flat sheeting,J169642-001-002,Negative,Greencap,,,,No,,,Textured painted white,False
BLD-MORTUARY-BUILDINGS-ITEM-BLD-MORTUARY-BUILDINGS-ITEM-BLD-MORTUARY-BUILDINGS-ITEM-BLD-MORTUARY-BUILDINGS-ITEM-4.0,Mortuary Buildings,External,Ground Level,,,Window frame,,Non-friable,"Gasket, friction products and adhesives",Mastic,J169642-001-004,Positive,Greencap,Fair,Low,5.0,No,,J169642-001-Photo011,"Maintain in current condition, label and incorporate into an AMP. Remove by licensed asbestos contractor prior to demolition or refurbishment.",False
BLD-MORTUARY-BUILDINGS-ITEM-BLD-MORTUARY-BUILDINGS-ITEM-BLD-MORTUARY-BUILDINGS-ITEM-BLD-MORTUARY-BUILDINGS-ITEM-5.0,Mortuary Buildings,Internal,Ground Level,Boiler Room,,Fire door(s),,Friable,Insulation Products,Fire door core,Not Sampled,Assumed Positive,Greencap,Fair,Low,1.0,No,,J169642-001-Photo010,"Restricted Access. Confirm status, label, maintain in current condition and incorporate into an AMP. Remove by licensed asbestos contractor prior to demolition or refurbishment.",False
BLD-MORTUARY-BUILDINGS-ITEM-BLD-MORTUARY-BUILDINGS-ITEM-BLD-MORTUARY-BUILDINGS-ITEM-BLD-MORTUARY-BUILDINGS-ITEM-6.0,Mortuary Buildings,Internal,Ground Level,Mortuary Room,,Ceiling,,Non-friable,Cement products,Flat sheeting,Not Sampled,Assumed Positive,Greencap,Stable,Low,10.0,No,,J169642-001-Photo008,"Height Restricted. Confirm status, label, maintain in current condition and incorporate into an AMP. Remove by licensed asbestos contractor prior to demolition or refurbishment.",False
BLD-MORTUARY-BUILDINGS-ITEM-BLD-MORTUARY-BUILDINGS-ITEM-BLD-MORTUARY-BUILDINGS-ITEM-BLD-MORTUARY-BUILDINGS-ITEM-7.0,Mortuary Buildings,Internal,Ground Level,Mortuary Room,,Wall(s),,,,Mortar,J169642-001-003,Negative,Greencap,,,,No,,,Rendered Masonry,False
BLD-MORTUARY-BUILDINGS-ITEM-BLD-MORTUARY-BUILDINGS-ITEM-BLD-MORTUARY-BUILDINGS-ITEM-BLD-MORTUARY-BUILDINGS-ITEM-8.0,Mortuary Buildings,Internal,Ground Level,Shower Room,Behind ceramic tile,Shower Cubicle,,Non-friable,Cement products,Flat sheeting,Not Sampled,Assumed Positive,Greencap,Stable,Low,4.0,No,,J169642-001-Photo007,"Restricted Access. Confirm status, label, maintain in current condition and incorporate into an AMP. Remove by licensed asbestos contractor prior to demolition or refurbishment.",False
BLD-MORTUARY-BUILDINGS-ITEM-BLD-MORTUARY-BUILDINGS-ITEM-BLD-MORTUARY-BUILDINGS-ITEM-BLD-MORTUARY-BUILDINGS-ITEM-9.0,Mortuary Buildings,Internal,Ground Level,Shower Room,Beneath shower tray,Shower Cubicle,,Non-friable,Cement products,Flat sheeting,Not Sampled,Assumed Positive,Greencap,Stable,Low,1.0,No,,J169642-001-Photo004,"Restricted Access. Confirm status, label, maintain in current condition and incorporate into an AMP. Remove by licensed asbestos contractor prior to demolition or refurbishment.",False
BLD-MORTUARY-BUILDINGS-ITEM-BLD-MORTUARY-BUILDINGS-ITEM-BLD-MORTUARY-BUILDINGS-ITEM-BLD-MORTUARY-BUILDINGS-ITEM-10.0,Mortuary Buildings,Internal,Ground Level,Shower Room,Above door,Infill panels,,,,Flat sheeting,J134889-01,Negative,Greencap,,,,No,,,,False
BLD-PATHOLOGY-DEPARTMENT-ITEM-BLD-PATHOLOGY-DEPARTMENT-ITEM-BLD-PATHOLOGY-DEPARTMENT-ITEM-BLD-PATHOLOGY-DEPARTMENT-ITEM-12.0,Pathology Department,Internal,Ground Level,Kitchen,Under sink,Lining,,,,Bituminous membrane,J169642-001-019,Negative,Greencap,,,,No,,,,False
